date,away,away_pts,home,home_pts,a_mov,h_mov,a_ORtg,h_ORtg,a_DRtg,h_DRtg,a_NRtg,h_NRtg,a_mov/a,h_mov/a,a_ORtg/a,h_ORtg/a,a_DRtg/a,h_DRtg/a,a_NRtg/a,h_NRtg/a,winner
2021-11-15,Boston Celtics,98.0,Cleveland Cavaliers,92.0,0.69,2.21,107.01,107.98,106.18,105.56,0.83,2.42,1.19,2.59,107.48,107.86,106.1,105.08,1.39,2.78,away
2021-11-15,Sacramento Kings,129.0,Detroit Pistons,107.0,-0.69,-9.75,109.94,100.93,110.61,110.96,-0.68,-10.03,-0.47,-9.16,109.75,100.83,110.23,110.22,-0.48,-9.39,away
2021-11-15,New Orleans Pelicans,100.0,Washington Wizards,105.0,-9.57,4.92,105.18,109.08,114.92,104.21,-9.74,4.87,-9.71,4.82,104.45,108.38,114.36,103.53,-9.92,4.85,home
2021-11-15,Orlando Magic,111.0,Atlanta Hawks,129.0,-9.62,-2.64,101.38,110.41,111.17,113.18,-9.79,-2.77,-9.25,-0.61,101.22,112.11,110.58,112.79,-9.36,-0.68,home
2021-11-15,Indiana Pacers,84.0,New York Knicks,92.0,0.64,0.46,110.59,111.96,109.93,111.5,0.67,0.46,2.83,-0.42,110.59,110.95,107.65,111.32,2.94,-0.38,home
2021-11-15,Denver Nuggets,101.0,Dallas Mavericks,111.0,5.77,-1.58,108.71,107.41,102.52,108.92,6.19,-1.5,5.36,-2.11,107.57,107.08,101.78,109.05,5.79,-1.97,home
2021-11-15,Houston Rockets,102.0,Memphis Grizzlies,136.0,-9.23,-6.54,100.1,108.33,109.29,114.86,-9.19,-6.53,-9.19,-4.46,101.18,110.3,110.35,114.78,-9.17,-4.48,home
2021-11-15,Phoenix Suns,99.0,Minnesota Timberwolves,96.0,5.75,-4.42,110.5,104.85,104.93,109.29,5.57,-4.44,3.46,-5.72,108.83,105.52,105.58,111.42,3.25,-5.9,away
2021-11-15,Miami Heat,103.0,Oklahoma City Thunder,90.0,6.62,-8.17,112.62,100.73,106.11,108.98,6.5,-8.24,7.45,-7.3,113.35,101.48,105.94,108.89,7.41,-7.41,away
2021-11-15,Toronto Raptors,113.0,Portland Trail Blazers,118.0,1.14,-0.43,110.75,111.06,109.55,111.69,1.2,-0.62,1.92,0.92,111.92,112.41,109.88,111.77,2.04,0.64,home
2021-11-15,Chicago Bulls,121.0,Los Angeles Lakers,103.0,4.92,-1.57,110.16,106.37,105.24,107.9,4.92,-1.53,5.21,-3.23,110.1,105.92,104.92,109.14,5.19,-3.22,away
2021-11-16,Golden State Warriors,117.0,Brooklyn Nets,99.0,13.23,5.0,113.42,110.0,100.21,104.8,13.21,5.2,10.69,3.36,112.09,108.94,101.5,105.41,10.59,3.53,away
2021-11-16,Philadelphia 76ers,85.0,Utah Jazz,120.0,4.14,6.62,116.05,113.6,111.79,106.78,4.26,6.81,2.95,6.53,115.14,113.36,112.12,106.63,3.03,6.73,home
2021-11-16,San Antonio Spurs,92.0,Los Angeles Clippers,106.0,0.08,5.23,108.03,107.91,107.9,103.17,0.13,4.74,-2.42,5.61,107.37,107.47,109.66,102.46,-2.29,5.01,home
2021-11-17,Washington Wizards,87.0,Charlotte Hornets,97.0,4.92,-1.8,109.45,110.04,104.54,111.66,4.91,-1.62,4.04,0.35,108.1,111.44,104.04,110.94,4.07,0.5,home
2021-11-17,Indiana Pacers,89.0,Detroit Pistons,97.0,0.07,-10.69,109.49,101.25,109.47,112.17,0.03,-10.92,1.93,-10.77,109.24,100.51,107.27,111.47,1.97,-10.96,home
2021-11-17,Boston Celtics,99.0,Atlanta Hawks,110.0,1.07,-1.27,106.82,111.56,105.6,112.95,1.23,-1.4,1.39,-0.07,107.12,112.93,105.49,113.08,1.63,-0.15,home
2021-11-17,Cleveland Cavaliers,99.0,Brooklyn Nets,109.0,1.67,3.47,107.32,109.22,105.49,105.56,1.83,3.66,2.09,2.4,107.3,108.49,105.05,105.94,2.25,2.55,home
2021-11-17,New Orleans Pelicans,98.0,Miami Heat,113.0,-9.27,7.07,105.36,112.26,114.82,105.25,-9.45,7.01,-8.69,7.66,105.24,113.09,114.16,105.44,-8.92,7.66,home
2021-11-17,Los Angeles Lakers,102.0,Milwaukee Bucks,109.0,-2.67,-1.93,106.0,109.03,108.6,110.92,-2.6,-1.89,-3.85,-1.57,106.09,109.1,109.89,110.59,-3.8,-1.48,home
2021-11-17,Orlando Magic,104.0,New York Knicks,98.0,-10.21,1.0,101.98,111.32,112.34,110.26,-10.36,1.06,-9.95,-0.14,101.89,110.11,111.92,110.14,-10.02,-0.03,away
2021-11-17,Sacramento Kings,97.0,Minnesota Timberwolves,107.0,0.93,-4.31,111.14,104.16,110.22,108.48,0.91,-4.32,0.9,-4.98,111.31,105.08,110.46,110.24,0.85,-5.16,home
2021-11-17,Houston Rockets,89.0,Oklahoma City Thunder,101.0,-11.0,-8.54,99.82,100.21,110.64,108.87,-10.82,-8.65,-11.02,-7.07,100.52,101.29,111.38,108.49,-10.86,-7.2,home
2021-11-17,Dallas Mavericks,98.0,Phoenix Suns,105.0,-0.69,5.54,108.5,109.65,109.05,104.28,-0.54,5.37,-0.89,3.13,108.62,107.53,109.26,104.59,-0.65,2.94,home
2021-11-17,Chicago Bulls,107.0,Portland Trail Blazers,112.0,5.86,-0.07,110.76,112.17,104.93,112.39,5.83,-0.22,5.67,1.19,110.64,113.45,105.01,112.51,5.63,0.94,home
2021-11-18,Golden State Warriors,104.0,Cleveland Cavaliers,89.0,13.57,0.94,113.62,107.04,100.07,105.97,13.55,1.07,11.82,1.57,112.79,107.28,101.05,105.57,11.74,1.71,away
2021-11-18,Washington Wizards,97.0,Miami Heat,112.0,3.86,7.6,108.32,113.06,104.52,105.42,3.8,7.64,3.08,7.68,106.79,113.58,103.74,105.83,3.05,7.75,home
