Team,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Golden State Warriors,12,2,.857,13.57,113.62,100.07,13.55,11.82,112.79,101.05,11.74
Utah Jazz,9,5,.643,8.64,114.17,105.31,8.86,8.67,113.48,104.57,8.91
Miami Heat,10,5,.667,7.60,113.06,105.42,7.64,7.68,113.58,105.83,7.75
Los Angeles Clippers,9,5,.643,5.86,107.30,101.96,5.34,6.57,106.83,100.84,5.99
Chicago Bulls,10,5,.667,5.13,110.88,105.79,5.09,5.21,110.56,105.42,5.14
Denver Nuggets,9,5,.643,4.64,108.84,103.88,4.97,4.62,108.03,103.07,4.96
Brooklyn Nets,11,5,.688,3.88,109.47,105.39,4.08,3.22,109.20,105.80,3.40
Phoenix Suns,11,3,.786,5.64,109.69,104.18,5.51,3.39,107.59,104.34,3.25
Washington Wizards,10,4,.714,3.86,108.32,104.52,3.80,3.08,106.79,103.74,3.05
Cleveland Cavaliers,9,7,.563,0.94,107.04,105.97,1.07,1.57,107.28,105.57,1.71
Portland Trail Blazers,8,8,.500,0.25,112.52,112.40,0.12,1.73,113.94,112.42,1.52
Charlotte Hornets,9,7,.563,-1.06,109.68,110.53,-0.85,1.05,111.12,109.89,1.23
Philadelphia 76ers,8,7,.533,1.53,114.06,112.45,1.61,0.79,113.24,112.41,0.84
Toronto Raptors,7,8,.467,0.73,111.51,110.76,0.76,0.73,112.09,111.31,0.78
Atlanta Hawks,7,9,.438,-0.50,112.07,112.63,-0.56,0.75,113.59,112.85,0.74
Indiana Pacers,6,10,.375,-0.44,108.49,108.99,-0.50,0.60,108.06,107.47,0.60
Boston Celtics,7,8,.467,0.27,106.89,106.54,0.35,0.37,106.81,106.31,0.51
Sacramento Kings,6,9,.400,0.20,110.71,110.57,0.13,0.12,110.91,110.89,0.02
Dallas Mavericks,9,5,.643,-1.14,108.10,109.13,-1.03,-1.20,108.23,109.25,-1.02
New York Knicks,8,7,.533,0.53,110.58,109.99,0.58,-1.21,109.25,110.40,-1.15
Milwaukee Bucks,7,8,.467,-1.33,108.91,110.21,-1.31,-1.32,108.84,110.08,-1.24
Memphis Grizzlies,7,7,.500,-3.64,109.75,113.53,-3.78,-2.30,111.40,113.85,-2.45
San Antonio Spurs,4,10,.286,-0.93,106.47,107.29,-0.82,-2.82,106.37,109.06,-2.69
Minnesota Timberwolves,5,9,.357,-3.29,104.97,108.21,-3.24,-3.65,105.77,109.54,-3.77
Los Angeles Lakers,8,8,.500,-2.94,105.65,108.52,-2.87,-3.93,105.70,109.56,-3.86
Oklahoma City Thunder,6,8,.429,-7.07,100.29,107.47,-7.18,-6.43,101.03,107.57,-6.54
New Orleans Pelicans,2,14,.125,-9.63,105.52,115.41,-9.89,-8.52,105.58,114.39,-8.82
Orlando Magic,4,11,.267,-9.13,102.27,111.53,-9.26,-8.91,102.05,111.03,-8.97
Detroit Pistons,4,10,.286,-9.36,101.29,110.84,-9.54,-9.31,100.58,110.04,-9.45
Houston Rockets,1,14,.067,-11.07,99.11,110.02,-10.90,-11.28,99.98,111.10,-11.13
